lambda,risk_teacher,risk_pure,cross_risk,D,risk_derivative,xi_oracle,xi_derivative,risk_optimal,gain,gain_derivative,gcv_teacher,gcv_pure,gcv_cross,D_gcv,xi_gcv,kind,seed,n,p
0.536539159055945,1.410996171601232,1.5064492544758905,1.4118336442160815,0.09377813764495968,0.0031217576600484163,-0.008930360912263935,-0.008930360912263518,1.4109886926685273,7.478932704743041e-06,7.478932704742344e-06,1.498847359376173,1.5738208967104912,1.5016453460098156,0.06937756406703288,-0.04032984829128731,isotropic,0,400,200
0.7455187440629881,1.4223481647685645,1.5795398188243306,1.4555663165433446,0.09075535050620578,0.08911419609316605,-0.36601865994125177,-0.3660186599412512,1.4101897013702345,0.012158463398330108,0.012158463398330072,1.5102419322651055,1.6309072497486685,1.5373091233795337,0.06653093525470677,-0.4068361734402847,isotropic,0,400,200
1.0358949358462421,1.4537508897511258,1.6600047042613377,1.5150303161460543,0.08369496172035462,0.11831204936795711,-0.7321758100526785,-0.73217581005268,1.4088835760908553,0.0448673136602703,0.04486731366027048,1.5386596590751986,1.6961180932819446,1.5867020649281014,0.06137362250094025,-0.7827858922970816,isotropic,0,400,200
1.4393713460023037,1.5014440572191745,1.7394812090458807,1.5838315787187573,0.07326210882754029,0.11447708991624053,-1.1245584220558522,-1.1245584220558535,1.408794476044511,0.09264958117466349,0.09264958117466371,1.580679199559446,1.7631002375111746,1.644764108040382,0.05425122098985646,-1.181262049252647,isotropic,0,400,200
2.0000000000000004,1.5602905656192543,1.8110082445680993,1.655338166569683,0.06062247704798827,0.09504760095042836,-1.5678607272215175,-1.5678607272215133,1.4112691648724547,0.14902140074679965,0.14902140074679882,1.6318597868910723,1.8258745831127334,1.7060246511664396,0.045685067670926394,-1.623393989685722,isotropic,0,400,200
2.7789909887462754,1.6246112691027044,1.8701159357424149,1.723730909227247,0.04726538639062489,0.0713349849106636,-2.0970872702778345,-2.0970872702778385,1.4167487335630058,0.2078625355396985,0.20786253553969922,1.6873971648437183,1.8798502464272273,1.765409216881095,0.03642897750875518,-2.1414834390734065,isotropic,0,400,200
3.8613954577664997,1.6890670474546559,1.9152160962729605,1.7848038414648522,0.034675460797911756,0.04958663004465876,-2.7609379026900145,-2.760937902690023,1.4247437041898785,0.2643233432647773,0.2643233432647789,1.7428095835297264,1.9225816369380562,1.8190009538125393,0.027389312842703628,-2.781791960987804,isotropic,0,400,200
5.36539159055945,1.7493839020229998,1.9471895478892882,1.8363020561979173,0.023969337516453353,0.032399556568378826,-3.6262226319460864,-3.6262226319460833,1.4341993242269346,0.31518457779606524,0.3151845777960647,1.7945190518514176,1.9538815946895771,1.8645021390230385,0.01939636849491766,-3.608051022022926,isotropic,0,400,200
7.455187440629877,1.802751922790189,1.9684188125119242,1.8777473782798872,0.015675978742338684,0.02011899931073015,-4.784100356499324,-4.784100356499322,1.443966137446094,0.358785785344095,0.3587857853440945,1.840182345014494,1.9752484654494795,1.9012304731360923,0.012969864191788805,-4.706921153441812,isotropic,0,400,200
10.358949358462416,1.8478445280411036,1.9817446339079603,1.90991422420987,0.009760713529323855,0.011983782142551068,-6.359135116740389,-6.359135116740393,1.4531349434488952,0.3947095845922084,0.39470958459220884,1.8787090266536508,1.9889689441519685,1.92972258184368,0.008232807118259355,-6.196374390563269,isotropic,0,400,200
14.39371346002303,1.8845431811098388,1.9897314126247319,1.9342226161428553,0.0058293614488604435,0.006902935114137926,-8.5222773487014,-8.522277348701367,1.4611612572316792,0.42338192387815954,0.42338192387815626,1.9100288474528142,1.9973418413121886,1.951187235342321,0.004996218080360659,-8.23790859956531,isotropic,0,400,200
20.0,1.9135297987275828,1.9943454101941949,1.9522552291363138,0.0033647506491502645,0.0038725430408730814,-11.509153113176673,-11.509153113176618,1.46783289077983,0.44569690794775296,0.4456969079477487,1.9347453105051988,2.0022467392504524,1.967035435010001,0.002921179735649204,-11.053795872517926,isotropic,0,400,200
0.02,2.0829244148884176,1.9446994640510173,2.0084001755498244,0.010823527839785435,-7.452423933859278,6.885392678037456,6.885392678037418,1.5697957630101569,0.5131286518782606,0.513128651878255,1.894644898528599,1.7971797930407196,1.8415676045244467,0.00868948252042534,6.108222656457375,isotropic,1,400,200
0.027789909887462754,2.028614358145153,1.8649507578067976,1.9380078755507577,0.017549364850435012,-6.520818740421447,5.162949392561585,5.162949392561592,1.560817673872279,0.4677966842728739,0.4677966842728752,1.8547260639163947,1.7409975474633772,1.7909985707443539,0.013726469891064408,4.642671690375824,isotropic,1,400,200
0.038613954577665,1.9638979210352934,1.7793701669497577,1.8581005914359,0.027066905113250776,-5.479745897903354,3.908733900559607,3.9087339005595934,1.5503643122414656,0.4135336087938276,0.41353360879382467,1.8072865913373115,1.6811037873441237,1.7339296507326563,0.020531077216122906,3.5729708593686733,isotropic,1,400,200
0.053653915905594526,1.8901451137083565,1.6942675178173752,1.772516877630561,0.03937887626460886,-4.384702741353123,2.987089709909063,2.9870897099090565,1.53877902012562,0.35136609358273657,0.3513660935827351,1.7533484492452363,1.6215569464824888,1.673017180300307,0.02887103512711109,2.782417346356064,isotropic,1,400,200
0.0745518744062988,1.810455563416303,1.617294009013942,1.6870354801802878,0.05367861206966953,-3.3109853835033163,2.299241326803089,2.2992413268030867,1.5266830074825797,0.28377255593372347,0.2837725559337229,1.6951422834666283,1.5670540561656585,1.6120921598745175,0.03801201988325209,2.184838476018537,isotropic,1,400,200
